mass;position_x;position_y;velocity_x;velocity_y
1e+24;-7.999999e+16;-4e+16;-17.0;572.2799340756394
1e+24;-7.999999158746467e+16;-3.999999459359182e+16;-120.95438073896213;541.7561738336783
1e+24;-7.999999584584987e+16;-3.999999090368005e+16;-191.90398009985913;459.8759713140336
1e+24;-8.000000142314838e+16;-3.999999010178558e+16;-207.32280159152015;352.6357122788275
1e+24;-8.000000654860734e+16;-3.999999244250426e+16;-162.31547833452933;254.08342124827576
1e+24;-8.000000959492974e+16;-3.999999718267443e+16;-71.17151745643143;195.50875428736518
1e+24;-8.000000959492974e+16;-4.000000281732557e+16;37.17151745643139;195.50875428736515
1e+24;-8.000000654860734e+16;-4.000000755749574e+16;128.31547833452933;254.08342124827573
1e+24;-8.000000142314838e+16;-4.000000989821442e+16;173.32280159152012;352.63571227882744
1e+24;-7.999999584584987e+16;-4.000000909631995e+16;157.90398009985915;459.87597131403356
1e+24;-7.999999158746467e+16;-4.000000540640818e+16;86.95438073896207;541.7561738336783
