mass;position_x;position_y;velocity_x;velocity_y
1e+24;10000000000.0;0.0;-320.0;552.3313177131923
1e+24;9009688679.02419;4338837391.175581;-394.77175649645574;535.265152224187
1e+24;6234898018.587336;7818314824.680298;-454.7340496033742;487.44681913505275
1e+24;2225209339.5631447;9749279121.818235;-488.01061178166503;418.34732576746194
1e+24;-2225209339.5631433;9749279121.818235;-488.01061178166503;341.6526742325381
1e+24;-6234898018.587335;7818314824.680299;-454.7340496033742;272.55318086494725
1e+24;-9009688679.02419;4338837391.175582;-394.7717564964558;224.73484777581302
1e+24;-10000000000.0;1.2246467991473532e-06;-320.0;207.6686822868077
1e+24;-9009688679.02419;-4338837391.17558;-245.22824350354426;224.73484777581305
1e+24;-6234898018.5873375;-7818314824.680297;-185.26595039662578;272.5531808649472
1e+24;-2225209339.5631456;-9749279121.818235;-151.98938821833494;341.65267423253806
1e+24;2225209339.5631423;-9749279121.818235;-151.9893882183349;418.3473257674619
1e+24;6234898018.587334;-7818314824.680299;-185.26595039662578;487.4468191350527
1e+24;9009688679.02419;-4338837391.175584;-245.22824350354418;535.265152224187
