mass;position_x;position_y;velocity_x;velocity_y
1e+24;1.000001e+16;8e+16;600.0;191.50444532685333
1e+24;1.0000008660254038e+16;8.0000005e+16;504.24777733657334;165.84771459070316
1e+24;1.0000005e+16;8.000000866025403e+16;434.15228540929695;95.75222266342668
1e+24;1e+16;8.000001e+16;408.49555467314667;1.1726265299601014e-14
1e+24;9999995000000000.0;8.000000866025403e+16;434.15228540929684;-95.75222266342665
1e+24;9999991339745962.0;8.0000005e+16;504.2477773365733;-165.8477145907031
1e+24;9999990000000000.0;8e+16;600.0;-191.50444532685336
1e+24;9999991339745962.0;7.9999995e+16;695.7522226634267;-165.8477145907032
1e+24;9999995000000000.0;7.999999133974597e+16;765.847714590703;-95.75222266342674
1e+24;1e+16;7.999999e+16;791.5044453268533;-3.5178795898803033e-14
1e+24;1.0000005e+16;7.999999133974597e+16;765.8477145907033;95.75222266342656
1e+24;1.0000008660254038e+16;7.9999995e+16;695.7522226634268;165.84771459070305
