mass;r_x;r_y;v_x;v_y
1.975089941068239E34;-1.86869570309313E15;3.6387981307936544E14;19644.20382255557;147815.60536007982
8.78832294128075E34;-9.890009775502579E14;-1.0924485661085338E15;-345782.40763700823;303718.9351593021
8.44006101724332E34;-8.080903299000418E14;-3.378634232845589E14;-97449.17905048555;191161.4687003777
5.733848923269687E34;-2.345877020706569E15;1.9416719591099388E14;9120.803915232427;252107.237811095
7.568418413571565E34;-1.2416084589074248E15;-5.65302823138316E14;-188016.28124292032;365287.8653085458
9.775685948291929E34;-1.1830719681025255E15;-8.942782137358172E14;-2865006.990118479;3569886.4134478215
3.0827750494785834E34;-2.1484082335375132E15;-9.014142713910125E13;-20078.664424624774;225424.69903627323
3.8702342137157166E34;-1.2811490482162285E15;3.808346198351859E14;33968.388369145985;166902.48612046524
6.583437193431337E34;-2.4038195619557997E14;-7.288254653435208E14;-179743.85302929833;65568.87522978513
7.610031082688301E34;-1.1993974857690622E15;-9.052143432549664E14;-3275610.75574701;4090245.0202238588
7.198508102143578E33;-1.6645226201042745E15;4.4177791458580094E14;41889.261121848904;216322.1670104261
9.748258892878055E34;-2.4175816826662215E15;-9.605158705676261E14;-81222.93120543074;188858.36422288412
