mass;r_x;r_y;v_x;v_y
5.162040147345102E34;2.0483891021758165E15;-3.3202806510441665E15;-5907393.986539038;-3663876.193271933
2.795471620184306E33;2.599338620298272E15;-2.9573236174440555E15;-1877503.4473527549;-1660887.6689699835
1.4356606436956726E34;3.629362432016703E15;-4.1483844990802725E15;-2218447.62709619;-1949796.7000266074
6.337075832653533E34;2.2237270463099288E15;-3.009833515786454E15;-1976889.1191328599;-1469529.8405842152
6.439869013704577E34;2.6296744591528985E15;-3.9921257418227025E15;-2481396.869477349;-1641888.75627131
6.730735846143636E33;3.765070463178116E14;-6.190967057357076E15;-2574451.9642789336;-155933.25586695547
6.554658905477387E34;2.37214950548538E15;-6.516204473995952E15;-6332532.773287578;-2310375.371169774
9.097211980344938E34;2.010818911771373E15;-3.380389618636306E15;-2690753.4702707515;-1608880.9145679956
2.936403078692884E34;8.74135283688982E14;-3.635055172782432E15;-2802860.7283605835;-675933.591551127
3.3590898893034836E34;3.279282918115783E14;-4.2832661587587915E15;-2691143.8452583957;-205297.1950964039
2.0982991824300392E33;2.351604851832721E15;-4.1734471533842345E15;-2473313.6936865947;-1399383.2558096752
1.858296362759281E34;1.6380174216018948E15;-5.009162766296569E15;-6357648.947734787;-2084582.860019922
5.626216634942936E34;7.025068073512556E14;-4.38369894375095E15;-2555680.6750478977;-409964.1360621501
8.262532081150481E34;1.7625178353500165E15;-2.819960768765573E15;-3884127.442839472;-2442933.804629659
9.351021025600598E34;4.833531881029473E15;-5.526742551149773E15;-1772340.7116957174;-1555371.4891248439
7.869766001246403E34;3.670522547213119E14;-7.51266659017587E15;-2436488.6377541097;-118461.30124826267
1.0467692301710097E34;5.82161955680375E15;-5.073131195509075E15;-1491381.9007052311;-1718101.0663119974
1.604459328503544E34;1.0910579600643516E14;-4.816688698872002E15;-2618612.9465988316;-58023.70702039061
8.102791643922541E34;1.5600941667498142E15;-5.125924389548296E15;-2550260.3162483894;-778126.5643446825
1.510205042070873E34;3.5961263941977305E15;-3.6884034148823335E15;-2461281.5399980154;-2412321.5806769305
5.053063319242808E34;1.1513374844923795E15;-3.5032166926740245E15;-7269715.628890413;-2398460.8908538595
4.934562153586937E34;2.288225216224206E15;-3.374407395079285E15;-2292282.198730412;-1562764.1510848377
5.696255550824379E34;3.1226926020920975E15;-3.7780826644055225E15;-2072526.9729019213;-1721552.6132628843
4.901138455027322E34;1.8863835655423305E15;-3.8911581779844045E15;-2117637.549148737;-1030928.6242824119
7.130618585503527E33;1.388527872781082E15;-3.1621571547148935E15;-2207296.8453744994;-974082.7153582661
6.913319903305933E34;2.966868567513346E15;-3.3108046133922535E15;-2130007.2946593515;-1919773.3001531577
6.756151877350884E33;2.4982963416967135E15;-3.801366916664175E15;-2718291.7032115804;-1794927.8088367532
5.507426673278071E34;1.8643356706132452E15;-2.7727797440209975E15;-2880432.554679377;-1949357.8942133463
1.3153412905258086E34;2.328253662722991E15;-3.3832253530351165E15;-3288152.6009676224;-2274978.5664737113
1.910945491732449E34;1.3764886001968922E15;-3.978503288932434E15;-1733701.8781761273;-601940.1265447412
3.601450007274217E33;-1.7851113158215144E14;-6.19699309897711E15;-2847486.398605943;83643.13754117712
3.3425055629481876E34;-1.8790380252130603E14;-4.579987814058721E15;-5689326.908759054;238135.99609060446
7.085966714828365E34;4.607454444453796E13;-6.258971196728047E15;-2499476.9967171196;-17315.28821959547
9.252096435988483E34;1.7030673380262728E15;-3.2137138745353185E15;-2337974.089107976;-1245503.6236063861
1.7963509972654783E34;4.419458904565557E15;-4.181956205871104E15;-1856630.1244987487;-1971271.639581691
5.161704129018423E34;2.478227107744176E15;-3.0001470550982715E15;-2167272.260379879;-1801512.0330710572
1.6202852549070584E34;3.467156361258063E15;-3.5849148983024075E15;-1797060.0490244157;-1747421.3121591806
2.0535602017446785E34;5.335532366708255E15;-6.102330221755901E15;-3082515.404175674;-2703571.3284599087
8.46200137582311E34;2.4793107922652095E15;-3.6617201296315795E15;-2895359.460904974;-1970101.670521822
2.815972554304285E34;4.68321707612902E15;-3.8581787406571665E15;-3101788.114126128;-3784566.4230719535
1.4888581296631239E34;1.4628720650617025E15;-5.219824904281311E15;-2960501.6876810594;-831602.2315207492
6.004053993466906E34;1.4739658870350695E15;-3.6718039375264095E15;-2626788.0150442882;-1058821.3921405936
9.933684425004214E34;1.3941083140006208E15;-3.2467861453547155E15;-2695824.3350508315;-1163112.8965157068
7.121778414079412E34;1.9051932912615812E15;-5.91010961933523E15;-3738848.2627478917;-1207987.900546645
2.7910506398591724E34;1.955336412208722E15;-4.972849677883319E15;-3729986.202657517;-1471060.0520536103
7.803894370679249E34;7.027134988105618E15;-5.687135703379593E15;-1331768.6124633092;-1651338.5614112632
9.024421567734525E34;2.534157905848514E15;-6.643446073004501E15;-2426224.660715582;-927543.27249718
3.846643974723231E34;3.549836690050089E15;-3.7058136619667475E15;-2086946.377748188;-2009539.6281152107
9.394139516333108E34;3.21728281901875E15;-4.631968991935925E15;-2019363.3636518624;-1408117.1743551174
6.616694318720923E34;1.155575927050653E15;-3.705987233287678E15;-2419381.773905849;-757061.0231927189
