mass;r_x;r_y;v_x;v_y
6.775734794713089E34;7.194468795662396E14;-1.4238238103513642E15;-6670673.453387666;-3410414.7094494244
6.776126680979313E34;-7.669610384814299E14;-1.2835352282176302E15;-1757782.4739912965;1072841.8384428094
7.217556553100309E34;1.2986289202751718E15;-1.8349823911248422E15;-2847747.0259047756;-2035563.218749021
8.596573858429947E34;-7.20092584515549E14;-2.4417920544816215E15;-1936283.057028509;578555.7075711102
1.581729131238245E34;1.0031024433458595E15;-1.810992866054336E15;-1.3851747436809564E7;-7745514.21766644
7.715585310444971E34;1.2362576643464065E15;-2.160897815422493E15;-6861380.260798179;-3956996.5753056095
3.5224047281621535E34;1.0690918428437725E14;-4.2358392865332365E15;-2839475.3234653915;-70110.5825225542
9.203203774336897E34;7.89128167889582E14;-1.727209798375391E15;-5188088.89577079;-2392493.892470078
9.546253825251938E34;-7.0779918537765E13;-1.8118006442712592E15;-3156357.5408604564;129897.57119380982
4.874209154777706E34;-3.701952724362356E14;-3.789073400920939E15;-2786052.988727492;275926.9572735273
8.316560072164603E34;-9.30721294396759E14;-1.6864494758079078E15;-3664759.343294128;2055834.2339335885
4.5761119802061E34;1.1370386861264485E15;-2.2075736562023418E15;-2501737.741135411;-1298367.6660701067
9.392599554401988E34;-5.2508087853530606E14;-3.057994036898229E15;-7537435.461361573;1310830.7237461281
6.829674950532639E34;-5.51132650303888E13;-1.669534802690928E15;-1899538.045826291;66859.99273996227
8.81053965210613E34;1.2065716827580838E15;-3.1721063654024755E15;-2062478.2007252825;-788158.2599566585
7.0987937990104655E34;7.895721605189032E14;-2.4367122273213915E15;-5746950.634957299;-1872501.5463226861
7.77900339561909E34;-1.242311968487526E15;-2.2085810504457212E15;-2011162.0205413876;1145400.2713898502
8.009861295003255E34;-1.1977192184254585E15;-3.0521453302674485E15;-2802605.3401986826;1110513.477424957
7.310496064612089E34;-6.544383818997362E14;-1.0550558350382012E15;-2850844.078774164;1814303.3049381818
7.162618147547222E34;-2.3849027784283147E14;-1.2631515144668408E15;-1334304.6554497543;259519.8459497757
6.65473960135821E34;1.4344909812602285E15;-2.0844315181635048E15;-1865590.0818608447;-1295122.8288124464
2.9975618485545064E34;-6.998550324104772E14;-1.0239057853255688E15;-1633262.0488609907;1145798.776340678
4.680764205298559E34;3.902401134392641E14;-2.261778327132201E15;-1928038.269113485;-333487.9088100317
1.8241660440392962E34;-1.2530850064443697E14;-2.031834802899131E15;-2153631.761555307;137363.11393274736
6.69720694289402E34;1.6805200159386458E15;-2.0404810381638455E15;-1685617.3799566643;-1401144.3042988065
4.369469100882656E34;6.010359904109293E13;-2.870704197634996E15;-3950509.3794355113;-79377.49171167021
3.392791695290529E34;-5.910736375048898E14;-2.6445768314806275E15;-3767122.8485976043;853222.3167221557
7.462441602785704E34;-5.748631236672595E14;-1.7258447074733405E15;-4150879.692223723;1407642.1686472741
3.2629091276890134E34;1.505236164719911E15;-2.0171724082970132E15;-1964926.139621378;-1479753.3958426465
7.686444172165091E34;1.3085760584963458E15;-2.0071655882229395E15;-2892911.8087460636;-1902969.850892568
6.0095265233535155E34;-3.606829573588251E14;-2.6992663445485845E15;-2264030.8688611495;307462.86595154536
4.0240385913365827E33;-5.934922412635616E14;-1.551833099038774E15;-3063695.4680602252;1194463.5172973613
2.8154133657472085E34;-6.207810749908518E14;-1.5799529516845068E15;-3306723.3129316233;1323869.9288782098
4.182627487808949E34;8.558080904104947E13;-2.3918897308393615E15;-2501462.249465666;-87311.83533559373
9.88081819496187E34;-9.456894905420306E14;-1.7979876624467132E15;-2712979.1090136776;1449185.4600932219
5.678602475538581E34;-9.794263101297964E14;-3.1156771500984805E15;-2875932.362665636;913222.0293732764
2.824928128657545E34;-1.692650240354445E14;-1.607491933391893E15;-2539234.8558833855;275718.1670566629
6.867058268481267E33;1.5879818278251752E15;-2.755539985096512E15;-2497717.6437853076;-1448480.758978854
7.458954866583576E34;-8.095748816094239E14;-2.477677996258357E15;-2047844.5512364572;677575.2414517779
7.590837511807229E34;6.887281804452091E14;-1.8737516233286125E15;-2499323.725612743;-925818.5138356258
8.259193539550098E34;-4.1848959834926894E14;-1.351247274815277E15;-1595374.5672911324;505801.41378928476
2.8020446773654346E34;4.288060264164415E14;-1.5229150281952145E15;-2704460.2673287014;-767596.4625886581
1.2214381674755812E34;1.5273489404288492E15;-1.6949196490720125E15;-7170975.282480084;-6535539.817990783
4.274469752560633E34;9.667548304556834E14;-2.9991585658594705E15;-2795188.8440434155;-905037.5155608177
9.298319828322108E34;-1.9026644613097794E14;-1.5171425137394852E15;-1824202.0010034367;235676.21350539546
8.481691053260839E34;4.738405765671498E14;-2.94240306600572E15;-3433901.6521408893;-553824.4879503287
9.600975430461751E34;1.0365093654077501E15;-2.038291605414827E15;-1.1091766668579275E7;-5686745.652171035
5.922994052154734E33;-4.5980311831616694E14;-2.711461732419944E15;-2139519.8068486103;368094.66248432524
3.263081309233229E34;4.902437635704141E14;-2.1413262723334248E15;-1271255.0466384473;-292376.56921338075
8.54925300111613E34;-2.2630857295022997E14;-2.1809046077126455E15;-3820559.9063122827;405610.89670102263
4.232965916626036E34;-2.3181000645960547E14;-1.650853334729727E15;-4233829.560559483;610075.8640353155
4.466809065516585E34;-2.1902418405438347E14;-2.550238793965365E15;-2289446.6523800655;200952.73885394
3.643445626830417E34;1.5764343556921925E15;-2.6441087553216155E15;-2708243.0506533603;-1625390.9371202593
6.688254063057319E34;4.207721232807853E14;-1.5748834014894642E15;-5276909.1167400265;-1420291.0211978825
8.461777885159318E33;3.228561998846679E14;-1.6335233738599705E15;-2550566.06444116;-506513.82244738477
2.250538798133136E34;3.571514919660614E14;-2.135631720588238E15;-1633872.8642634384;-273894.55690641486
7.539371949179894E34;7.355997751120731E14;-1.4114892403478812E15;-5442786.373453983;-2870639.6540302876
8.470851010414388E34;-4.5378641489590294E14;-2.2684834644958885E15;-4069122.3474938725;827233.9083017727
3.4916975208720906E33;8.981489976146946E14;-2.0284677229488662E15;-7106004.847342189;-3171022.9939271496
8.45018503744828E34;5.50212512732759E14;-1.9834548810720775E15;-2980312.6790799852;-831747.958602369
5.1084422853349335E34;-2.7026890448514535E13;-1.618859081751564E15;-1711547.3101755332;32047.46094893333
9.206309840061141E34;-2.48498668605668E14;-1.852336192672236E15;-5269317.03444182;723743.5168832011
2.054158872940054E34;-1.0317333224186235E15;-1.8230183547482055E15;-2634007.983136349;1513299.8938274533
9.786358051684927E34;-3.814889505570368E14;-1.9628956801673112E15;-4475976.01348071;886482.7008631072
3.228336076512448E34;-3.5996586419669706E14;-2.9502420566574505E15;-4052354.1727754856;502159.65684086905
6.944717292936658E34;9.390552304483992E14;-2.0704935659458315E15;-2997279.475230728;-1369938.6072832805
2.02987665047916E34;-2.5715168510297216E14;-1.527226468167499E15;-1776069.8924547746;306852.09116051556
6.916214024360217E34;1.647859777185456E15;-2.217610814587288E15;-2299120.155890334;-1722712.8927552928
5.179221116346824E34;1.3108515985506864E14;-3.6796550503842855E15;-3606101.3284737873;-126416.48860087259
7.069411481523305E34;-1.8101151939345084E14;-1.453893354470278E15;-1380736.3098446233;177338.08902392787
3.4069115672964044E34;-3.283110813140744E14;-1.4012873704888785E15;-3680836.0412045335;883943.7680840875
6.068513983831577E34;9.29532571701533E14;-3.2451245067664645E15;-4812622.393259834;-1383745.3204387457
3.0545779063858916E34;1.263233624973152E15;-2.437730875120764E15;-5189269.778933944;-2707653.582328007
8.326145873170357E33;-6.032841816464922E14;-1.307561596770861E15;-3870072.473577371;1825081.655273305
6.582200282831205E34;-1.223710431006823E14;-2.3401583438552325E15;-2655117.3464657213;143458.01219807495
9.648600679501785E34;-7.442004675435039E14;-1.4636860743163525E15;-1557721.6664175487;807320.2823183164
8.89030742867759E34;6.458055173730742E14;-2.1455351754279362E15;-2312564.158118351;-700240.1419393492
3.2398667621443723E34;7.883489226797238E14;-1.4843905486406598E15;-3596836.8314092034;-1932222.8039539238
4.235128429844291E34;7.595377461646456E13;-1.3322503545655122E15;-2156698.354504511;-120318.97318202743
9.935255949564055E34;4.2089837004275175E14;-1.6882209291140768E15;-3515287.6952932496;-882047.3372668868
5.080500098694816E34;-1.0215841788870671E15;-3.01030727772022E15;-3181351.651206739;1090712.3932575472
6.153129000364271E33;-1.4789692366657016E13;-1.7267754746886585E15;-5059523.831269019;52415.21959969093
3.4799367920462585E34;5.82295277000887E14;-3.0814189611142005E15;-2249579.351630638;-426080.3262826556
9.66763559872709E34;9.939790614782406E14;-1.70193407923882E15;-650371.1244571285;-383749.00401825045
