id;mass;r_x;r_y;v_x;v_y
0;7.845949168479728E34;-4.211165213701857E10;1.5591128385656553E10;0.0;0.0
1;1.025296091586624E33;-1.8712783406578293E10;3.908416091023094E10;0.0;0.0
2;6.152484304943103E34;2.266486291579001E10;3.641384022202107E10;0.0;0.0
3;1.354894855576911E34;-1.5344662196816599E10;2.029301298591215E10;0.0;0.0
4;5.665577341711623E34;4.737153402187754E9;3.1054165641223743E10;0.0;0.0
5;1.3709032441382538E33;-9.187681364921663E9;-2.8110676020623703E10;0.0;0.0
6;9.378182814197076E34;6.246940531924929E9;-5.172610467649963E10;0.0;0.0
7;5.040553698001864E34;3.6379603629695587E9;-9.920383825372583E9;0.0;0.0
8;6.791567803740162E34;-4.2121468171857346E10;-4.689449370023722E10;0.0;0.0
9;8.495707331388543E34;-9.227389941400942E9;8.888810802005533E9;0.0;0.0
10;3.8150266898430255E34;-4.924166411415721E10;1.8647772037156174E10;0.0;0.0
11;5.368493973013131E34;-2.2870711241278732E10;1.261614780283297E10;0.0;0.0
12;5.678678456915705E34;1.2845984177477262E10;-8.312535445692257E9;0.0;0.0
13;7.54874386650564E34;-1.975298890504097E10;1.0571687612100956E10;0.0;0.0
14;5.416785060215181E34;-1.2180848688045132E10;2.194642697143556E9;0.0;0.0
15;1.3652317593613446E34;-3.862463109721958E9;-4.8111618507325035E10;0.0;0.0
16;6.601972537037163E34;1.8186596283585884E10;1.2036186756005192E10;0.0;0.0
17;1.15363711482239E34;-9.593326235874916E9;2.3584810110707024E10;0.0;0.0
18;5.287333730254363E34;-3.0971131006111588E10;-4.2906493956223354E9;0.0;0.0
19;1.3088440534637489E34;-2.9782244594216347E10;3.0611453403496046E9;0.0;0.0
20;7.743409877134181E34;-3.6258047196565216E10;5.93262553629243E9;0.0;0.0
21;4.965762334151751E34;-5.0019734004802246E10;-8.093752977618313E9;0.0;0.0
22;4.924136646333415E34;7.246053139161032E9;-7.071879579608473E9;0.0;0.0
23;7.219793662786181E33;2.6108809797132523E10;1.3278694776131886E10;0.0;0.0
24;2.922084819776503E34;-4.037428491793694E10;-2.180165917480776E10;0.0;0.0
25;6.74391065073026E33;-1.0178130275301813E10;-1.0141880096444855E10;0.0;0.0
26;1.8669114629120368E34;-3.702138851886015E10;2.0567844955246033E10;0.0;0.0
27;5.44744717585864E34;-6.158857764984423E9;-2.2905435055884445E10;0.0;0.0
28;1.5222155500877263E34;-2.5144122786661407E10;-1.6079881451188293E10;0.0;0.0
29;5.464206634842313E34;-4.311409901872341E10;1.905895909854142E10;0.0;0.0
30;9.77128159066163E34;-1.1814768080540405E10;1.2054846713767143E10;0.0;0.0
31;1.6008096900326467E34;-4.155417717071276E10;-1.9318707227284187E10;0.0;0.0
32;9.683767489638711E34;-1.5397977023130474E9;2.8983762257107357E10;0.0;0.0
33;6.1067160460877E34;-4.0415168347574E10;-2.1261043891150288E10;0.0;0.0
34;7.76630614390449E34;-3.2474438850934776E10;2.364424407507734E10;0.0;0.0
35;8.2553729390334E34;-1.856187901374617E10;-7.9836114701106415E9;0.0;0.0
36;4.278560337689375E34;-3.1847699445063072E10;8.80879828839251E9;0.0;0.0
37;4.0295161196491096E34;-9.18221803665198E9;3.3892005344801174E10;0.0;0.0
38;6.076640014570405E33;-3.021559536008763E10;-2.2265979650861362E10;0.0;0.0
39;8.720878398464434E34;2.1026222293000946E10;-1.4890733350213223E9;0.0;0.0
40;1.4930272666046625E34;-7.751627759308819E9;-4.317066322340829E10;0.0;0.0
41;1.9227989821775418E34;-5.598796977533037E10;5.557036597306205E10;0.0;0.0
42;7.3591144004902725E34;7.303972741054441E9;-1.875128260445061E10;0.0;0.0
43;1.3993386437001085E33;1.5929173896531767E10;-7.399938963883348E9;0.0;0.0
44;1.6735875138310889E34;-3.0055375169080643E10;-9.037417312993443E9;0.0;0.0
45;5.182022344457346E34;4.195363405371231E10;3.3712521316115875E9;0.0;0.0
46;5.0664599394522565E33;-2.0694182532335426E10;1.1223884191632328E10;0.0;0.0
47;7.087224454367251E33;6.339672992703806E9;-1.7773352040130642E10;0.0;0.0
