id;mass;r_x;r_y;v_x;v_y
0;9.37892103771202E34;2.3691352450879524E10;-2.1051505129143105E10;0.0;0.0
1;8.743722864130163E34;3.757948760186192E10;-6.789255732057341E10;0.0;0.0
2;2.8298739535968935E34;1.885579764771644E10;-3.6032568381571945E10;0.0;0.0
3;1.6283212590701018E34;4.7498962504678894E10;-6.701202992308065E9;0.0;0.0
4;3.181863974571022E34;4.612246219405618E10;-5.97615190900439E10;0.0;0.0
5;1.1038154596460204E34;-1.5932250869185051E10;-5.606689114909477E10;0.0;0.0
6;9.215540257747783E34;1.5381398328989582E10;-6.036789791359316E9;0.0;0.0
7;1.0957069610227466E34;3.972137145281769E10;5.31620154827055E8;0.0;0.0
8;4.686267445726662E34;2.4891854840572083E10;-1.2450763046718546E10;0.0;0.0
9;6.6537751464210585E34;8.82318263387685E9;-4.175917292814371E10;0.0;0.0
10;1.704368861521263E34;1.422204780874178E9;-4.1327972155827E10;0.0;0.0
11;1.751109849068732E34;4.19885454382658E9;-3.2417468037569504E10;0.0;0.0
12;1.8581066927905501E34;4.957640613673099E10;-1.7663278274283886E9;0.0;0.0
13;2.772343574382033E34;5.373214826835928E10;-5.839725467974981E10;0.0;0.0
14;4.643647780366048E34;1.713076273215601E10;3.380163359768454E10;0.0;0.0
15;7.916724086871595E34;3.6510680166770874E10;1.9171180577313896E10;0.0;0.0
16;1.5618322526556124E34;4.6975101255721596E10;-2.5481436775642563E10;0.0;0.0
17;4.564539399364489E34;-1.7382860126130981E9;-1.2549285482882984E10;0.0;0.0
18;7.799247714549464E34;3.981416048802708E10;-3.363123983706215E10;0.0;0.0
19;2.824645564199509E34;1.4556047644138895E10;-1.786020734406379E10;0.0;0.0
20;8.314027543707019E34;7.858509106792514E10;-1.3857115178337727E10;0.0;0.0
21;3.397336232586956E34;1.5390275165070976E10;8.944670656007475E9;0.0;0.0
22;8.226847129471456E34;1.3222037485185385E10;-2.4282729274413757E10;0.0;0.0
23;8.98321003502245E34;1.4058163296894161E10;-2.3684480887456436E10;0.0;0.0
24;2.3420499717363565E34;-1.770112769895559E10;-5.366202704324396E9;0.0;0.0
25;1.3651198831633334E33;8.794699817147736E10;-4.6275292404456184E10;0.0;0.0
26;8.068513019879133E34;7.893999231260616E9;1.5994392873178957E10;0.0;0.0
27;5.589403130215038E34;1.112476207055371E10;1.4385298477867403E10;0.0;0.0
28;4.328043349447638E34;2.605545889647441E10;-1.6050410485979166E10;0.0;0.0
29;9.352218468662271E34;-7.801451189231335E9;3.904219712497165E10;0.0;0.0
