id;mass;r_x;r_y;v_x;v_y
0;4.267217445661343E34;6.739939212860794E8;1.76046092185176E10;0.0;0.0
1;3.888585686825981E33;-9.13047731725646E9;3.094155993418492E10;0.0;0.0
2;5.922781427740594E34;-3.2566273706737053E10;3.390716035206591E10;0.0;0.0
3;3.6475537788543137E33;-2.485387185622339E10;6.991274789977358E9;0.0;0.0
4;8.1137631175645625E34;-6.707262385508919E9;1.1504506126888926E10;0.0;0.0
5;8.883566816517099E33;-8.974472249410783E10;2.0382904602786602E10;0.0;0.0
6;4.85753883697489E34;-3.439102697521715E10;-1.8506396425332165E10;0.0;0.0
7;4.725458779060808E34;-4.998917594912035E10;6.056393511339241E10;0.0;0.0
8;2.809322705866287E34;-1.1888983789533157E9;2.92907952736066E10;0.0;0.0
9;3.7074827807968113E34;-1.8015790756308582E10;-9.652602580577991E9;0.0;0.0
